run,size,algorithm,nanoseconds
0,250000,red_black_tree,3548
0,250000,hash_table,3282
0,250000,multimap,9322
1,250000,linear_search,2.51844e+07
1,250000,binary_search_tree,3980
1,250000,red_black_tree,3888
1,250000,hash_table,3730
1,250000,multimap,9450
2,250000,linear_search,2.51687e+07
2,250000,binary_search_tree,3844
2,250000,red_black_tree,3888
2,250000,hash_table,3728
2,250000,multimap,9564
3,250000,linear_search,2.4766e+07
3,250000,binary_search_tree,4048
3,250000,red_black_tree,3958
3,250000,hash_table,4370
3,250000,multimap,9588
4,250000,linear_search,2.49049e+07
4,250000,binary_search_tree,3800
4,250000,red_black_tree,3702
4,250000,hash_table,3554
4,250000,multimap,9012
0,500000,linear_search,1.64557e+08
0,500000,binary_search_tree,8024
0,500000,red_black_tree,8344
0,500000,hash_table,7610
0,500000,multimap,18330
1,500000,linear_search,5.07314e+07
1,500000,binary_search_tree,7602
1,500000,red_black_tree,7234
1,500000,hash_table,7474
1,500000,multimap,17504
2,500000,linear_search,5.08113e+07
2,500000,binary_search_tree,8192
2,500000,red_black_tree,7946
2,500000,hash_table,7540
2,500000,multimap,20268
3,500000,linear_search,5.03607e+07
3,500000,binary_search_tree,14530
3,500000,red_black_tree,14298
3,500000,hash_table,13114
3,500000,multimap,32188
4,500000,linear_search,8.77107e+07
4,500000,binary_search_tree,15274
4,500000,red_black_tree,14584
4,500000,hash_table,13548
4,500000,multimap,34094
0,1000000,linear_search,1.02597e+08
0,1000000,binary_search_tree,28138
0,1000000,red_black_tree,27698
0,1000000,hash_table,28178
0,1000000,multimap,61458
1,1000000,linear_search,1.03314e+08
1,1000000,binary_search_tree,28454
1,1000000,red_black_tree,28388
1,1000000,hash_table,27104
1,1000000,multimap,58458
2,1000000,linear_search,7.24364e+08
2,1000000,binary_search_tree,16092
2,1000000,red_black_tree,14976
2,1000000,hash_table,14792
2,1000000,multimap,40042
3,1000000,linear_search,1.02141e+08
3,1000000,binary_search_tree,15458
3,1000000,red_black_tree,15286
3,1000000,hash_table,15212
3,1000000,multimap,34802
4,1000000,linear_search,1.01626e+08
4,1000000,binary_search_tree,14976
4,1000000,red_black_tree,14782
4,1000000,hash_table,14378
4,1000000,multimap,33464
